trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
93942070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
82042020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
96505070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
84186010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
94542020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
85178020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
91065020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10030132,shp-100-02,1
922070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
91165010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
94952010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
91564010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
96012070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
91715010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
96298070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
91725020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
96640070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
89843070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
96744070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
97208010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
99594010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
95053070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
99959020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010100,shp-100-02,1
97511070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
97546010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
95345020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10011112,shp-100-02,1
97995010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
98763020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10012121,shp-100-02,1
98021010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
99897020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
98104070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
54816070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
51806010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
61261020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010100,shp-100-02,1
51585010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
58599010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
51716070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
62014020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10011111,shp-100-02,1
50552070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
62028020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
54014010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
62102020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
54441070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
62285070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
511070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
54212010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
51178010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
